"","locus_tag","gene"
"670","LFT_01138","traG_2"
"671","LFT_01163","merA_2"
"672","LFT_01169","nifD_1"
"673","LFT_01170","nifK_1"
"674","LFT_01171","nifD_2"
"675","LFT_01172","nifK_2"
"676","LFT_01190","nifW2"
"677","LFT_01197","modA_2"
"678","LFT_01204","moaE1"
"679","LFT_01206","moaA1"
"680","LFT_01214","higB_1"
"681","LFT_01225","ilvD_1"
"682","LFT_01263","ilvD_2"
"683","LFT_01294","dnaJ_2"
"684","LFT_01296","sigM"
"685","LFT_01305","lpxA_1"
"686","LFT_01315","rfaC_1"
"687","LFT_01327","icaB_2"
"688","LFT_01336","ispDF"
"689","LFT_01368","thrC_2"
"690","LFT_01372","lpxA_2"
"691","LFT_01396","exbB_2"
"692","LFT_01397","ybhR_1"
"693","LFT_01399","ybhF_1"
"694","LFT_01409","pgm_1"
"695","LFT_01410","pgm_2"
"696","LFT_01412","ccoN1_1"
"697","LFT_01451","amiA"
"698","LFT_01490","xerD_3"
"699","LFT_01521","cspLA"
"700","LFT_01554","aroA1"
"701","LFT_01570","gltS"
"702","LFT_01577","cobD_1"
"703","LFT_01578","cobD_2"
"704","LFT_01581","ilvD_3"
"705","LFT_01601","pbpB"
"706","LFT_01612","accC_1"
"707","LFT_01613","accC_2"
"708","LFT_01626","bioD1"
"709","LFT_01683","tufA_1"
"710","LFT_01696","tufA_2"
"711","LFT_01710","ssb_2"
"712","LFT_01719","pgsA_1"
"713","LFT_01740","qorA"
"714","LFT_01742","hemY_1"
"715","LFT_01743","hemY_2"
"716","LFT_01775","hyfB_1"
"717","LFT_01778","hyfB_2"
"718","LFT_01805","fcl_2"
"719","LFT_01851","ilvD_4"
"720","LFT_01853","ilvD_5"
"721","LFT_01882","yijE_1"
"722","LFT_01883","yijE_2"
"723","LFT_01887","ccoN1_2"
"724","LFT_01903","pgsA_2"
"725","LFT_01919","lon1"
"726","LFT_01925","ligB"
"727","LFT_01928","lon2"
"728","LFT_01931","guaB_2"
"729","LFT_01932","guaA_2"
"730","LFT_01967","sppA_2"
"731","LFT_01986","trpD2"
"732","LFT_02012","dop_2"
"733","LFT_02013","prcA_2"
"734","LFT_02014","prcB_2"
"735","LFT_02016","dop_3"
"736","LFT_02048","phrA"
"737","LFT_02049","kch_1"
"738","LFT_02068","traI_2"
"739","LFT_02096","exbB_3"
"740","LFT_02130","zraR_8"
"741","LFT_02143","glmS_2"
"742","LFT_02162","tmk_2"
"743","LFT_02174","yhdG_3"
"744","LFT_02187","zwf1"
"745","LFT_02194","rnc_1"
"746","LFT_02199","fabH_2"
"747","LFT_02271","glgX_1"
"748","LFT_02272","glgX_2"
"749","LFT_02298","rpoD_1"
"750","LFT_02299","rpoD_2"
"751","LFT_02303","hup_1"
"752","LFT_02310","hisC2"
"753","LFT_02319","hdaH"
"754","LFT_02328","pstB3"
"755","LFT_02332","pstS1_1"
"756","LFT_02350","bcsA_2"
"757","LFT_02352","bcsA_3"
"758","LFT_02359","nuoL_5"
"759","LFT_02362","macA_3"
"760","LFT_02390","flgG_1"
"761","LFT_02392","flgG_2"
"762","LFT_02402","kch_2"
"763","LFT_02410","ubiE_2"
"764","LFT_02413","tmk_3"
"765","LFT_02414","tmk_4"
"766","LFT_02419","priA_2"
"767","LFT_02423","resA_2"
"768","LFT_02424","resA_3"
"769","LFT_02425","ccsA_2"
